PN,l_m5007,m5007,l_logF5007,logF5007,RV,Diam,SimbadName,_RA,_DE
"SMP   1", ,15.13, ,-11.548,224,,"SMP LMC 1  ",69.64497,-70.61202
"SMP   2", ,18.12, ,-12.744,263,,"SMP LMC 2  ",70.23623,-67.8006
"SMP   3", ,15.9, ,-11.858,187,,"SMP LMC 3  ",70.60002,-66.21713
"SMP   4", ,17.24, ,-12.391,298,0.6,"SMP LMC 4  ",70.84122,-71.50247
"SMP   5", ,17.22, ,-12.384,286,,"SMP LMC 5  ",72.03564,-67.43523
"SMP   6", ,15.21, ,-11.58,265,,"SMP LMC 6  ",71.91245,-72.47238
"SMP   7", ,16.39, ,-12.052,220,,"SMP LMC 7  ",72.12338,-69.13694
"SMP   8", ,16.11, ,-11.938,293,,"SMP LMC 8  ",72.55481,-69.56577
"SMP   9", ,17.32, ,-12.424,286,,"SMP LMC 9  ",72.60283,-68.22123
"SMP  10", ,16.34, ,-12.033,222,,"SMP LMC 10 ",72.78717,-68.81817
"SMP  11", ,18.55, ,-12.917,265,,"SMP LMC 11 ",72.90762,-67.08802
"SMP  12", ,18.25, ,-12.797,,,"SMP LMC 12 ",73.00604,-68.65478
"SMP  13", ,15.77, ,-11.806,227,,"SMP LMC 13 ",74.99998,-70.46133
"SMP  14", ,18.26, ,-12.802,252,0.9,"SMP LMC 14 ",75.08637,-70.98094
"SMP  15", ,15.04, ,-11.513,203,,"SMP LMC 15 ",75.21942,-70.22805
"SMP  16", ,17.04, ,-12.312,253,0.8,"SMP LMC 16 ",75.50825,-69.81489
"SMP  17", ,18.8, ,-13.016,,1.0,"SMP LMC 17 ",75.71783,-69.34817
"SMP  18", ,17.43, ,-12.467,244,,"SMP LMC 18 ",75.92764,-70.11319
"SMP  19", ,15.49, ,-11.692,235,,"SMP LMC 19 ",75.92181,-70.23151
"SMP  20", ,17.61, ,-12.542,288,,"SMP LMC 20 ",76.16862,-69.36086
"SMP  21", ,15.58, ,-11.728,259,,"SMP LMC 21 ",76.21664,-68.65269
"SMP  22", ,17.95, ,-12.676,,,"SMP LMC 22 ",76.46133,-69.04197
"SMP  23", ,15.68, ,-11.769,283,,"SMP LMC 23 ",76.53936,-67.75772
"SMP  24", ,18.14, ,-12.751,270,1.3,"SMP LMC 24 ",76.57612,-68.99192
"SMP  25", ,14.84, ,-11.433,188,,"SMP LMC 25 ",76.5996,-69.05533
"SMP  26",>,19.43,<,-13.268,256,,"SMP LMC 26 ",76.87802,-69.1357
"SMP  27", ,17.5, ,-12.497,273,,"SMP LMC 27 ",76.97862,-66.96264
"SMP  28", ,17.23, ,-12.39,249,,"SMP LMC 28 ",76.99008,-68.86317
"SMP  29", ,15.54, ,-11.714,243,,"SMP LMC 29 ",77.01397,-68.67127
"SMP  30", ,17.86, ,-12.639,280,0.7,"SMP LMC 30 ",77.29392,-66.894
"SMP  31",>,19.41,<,-13.26,263,,"SMP LMC 31 ",77.33418,-67.79031
"SMP  32", ,15.63, ,-11.75,255,,"SMP LMC 32 ",77.40513,-70.81901
"SMP  33", ,15.63, ,-11.748,269,,"SMP LMC 33 ",77.53932,-68.49849
"SMP  34", ,16.71, ,-12.181,267,,"SMP LMC 34 ",77.57108,-68.80623
"SMP  35", ,15.54, ,-11.713,310,0.7,"SMP LMC 35 ",77.70804,-65.49191
"SMP  36", ,16.17, ,-11.965,263,,"SMP LMC 36 ",77.66527,-68.60134
"SMP  37", ,15.77, ,-11.806,270,,"SMP LMC 37 ",77.76215,-67.79983
"SMP  38", ,14.99, ,-11.492,240,,"SMP LMC 38 ",77.84872,-70.0326
"SMP  39", ,16.64, ,-12.152,,,"SMP LMC 39 ",77.925,-68.58323
"SMP  40", ,17.0, ,-12.297,254,,"SMP LMC 40 ",78.06537,-66.38239
"SMP  41", ,16.57, ,-12.123,259,0.9,"SMP LMC 41 ",78.36346,-70.55972
"SMP  42", ,16.63, ,-12.146,288,,"SMP LMC 42 ",78.9448,-68.70653
"SMP  43", ,16.3, ,-12.016,,,"SMP LMC 43 ",79.26001,-69.12125
"SMP  44", ,17.38, ,-12.449,,,"SMP LMC 44 ",79.62475,-67.28217
"SMP  45", ,16.31, ,-12.022,290,0.6,"SMP LMC 45 ",79.8361,-66.96882
"SMP  46", ,17.31, ,-12.419,273,,"SMP LMC 46 ",79.87346,-68.85251
"SMP  47", ,14.94, ,-11.472,272,,"SMP LMC 47 ",79.97764,-69.51805
"SMP  48", ,15.25, ,-11.594,256,,"SMP LMC 48 ",80.03963,-69.89421
"SMP  49", ,16.61, ,-12.142,247,,"SMP LMC 49 ",80.03924,-70.42725
"SMP  50", ,15.4, ,-11.655,299,,"SMP LMC 50 ",80.21554,-67.09537
"SMP  51", ,16.26, ,-12.0,271,,"SMP LMC 51 ",80.21849,-70.15986
"SMP  52", ,14.81, ,-11.421,272,,"SMP LMC 52 ",80.34984,-68.59272
"SMP  53", ,15.07, ,-11.523,277,,"SMP LMC 53 ",80.38688,-67.00132
"SMP  54", ,17.43, ,-12.469,280,0.9,"SMP LMC 54 ",80.42842,-68.65687
"SMP  55", ,17.45, ,-12.475,210,,"SMP LMC 55 ",80.67077,-71.31851
"SMP  56", ,17.79, ,-12.611,291,,"SMP LMC 56 ",80.88026,-69.06913
"SMP  57", ,17.59, ,-12.533,313,,"SMP LMC 57 ",80.95225,-69.20569
"SMP  58", ,15.37, ,-11.645,279,,"SMP LMC 58 ",81.08644,-70.08378
"SMP  59", ,17.81, ,-12.622,,,"SMP LMC 59 ",81.11358,-70.37331
"SMP  60", ,17.29, ,-12.412,222,1.0,"SMP LMC 60 ",81.06518,-70.89887
"SMP  61", ,15.1, ,-11.538,193,,"SMP LMC 61 ",81.14989,-73.67784
"SMP  62", ,14.41, ,-11.261,239,,"SMP LMC 62 ",81.22959,-71.54898
"SMP  63", ,14.89, ,-11.451,264,,"SMP LMC 63 ",81.35837,-68.93162
"SMP  64",>,19.38,<,-13.248,,,"SMP LMC 64 ",81.89855,-69.14899
"SMP  65", ,17.67, ,-12.565,211,,"SMP LMC 65 ",81.93256,-71.43236
"SMP  66", ,15.78, ,-11.809,304,,"SMP LMC 66 ",82.17086,-67.56092
"SMP  67", ,16.93, ,-12.267,289,,"SMP LMC 67 ",82.31529,-67.54656
"SMP  68", ,17.05, ,-12.318,,0.5,"SMP LMC 68 ",82.26169,-70.32341
"SMP  69", ,17.31, ,-12.419,305,0.9,"SMP LMC 69 ",82.34641,-67.2229
"SMP  70", ,17.81, ,-12.619,,0.8,"SMP LMC 70 ",82.36097,-72.64534
"SMP  71", ,15.71, ,-11.778,216,,"SMP LMC 71 ",82.63821,-70.74386
"SMP  72", ,17.92, ,-12.665,,1.7,"SMP LMC 72 ",82.69102,-70.83793
"SMP  73", ,14.66, ,-11.359,241,,"SMP LMC 73 ",82.84122,-70.6793
"SMP  74", ,15.19, ,-11.57,269,,"SMP LMC 74 ",83.37418,-71.87462
"SMP  75", ,15.07, ,-11.522,301,,"SMP LMC 75 ",83.44573,-68.61228
"SMP  76", ,15.54, ,-11.712,278,,"SMP LMC 76 ",83.48375,-67.88579
"SMP  77", ,16.57, ,-12.122,343,,"SMP LMC 77 ",83.52609,-69.4384
"SMP  78", ,14.76, ,-11.398,256,,"SMP LMC 78 ",83.58827,-68.97369
"SMP  79", ,15.07, ,-11.526,230,,"SMP LMC 79 ",83.5359,-74.3352
"SMP  80", ,17.24, ,-12.392,,,"SMP LMC 80 ",83.66183,-70.33242
"SMP  81", ,14.91, ,-11.46,257,,"SMP LMC 81 ",83.83692,-73.92507
"SMP  82", ,17.54, ,-12.51,255,,"SMP LMC 82 ",83.98969,-69.97138
"SMP  83", ,15.63, ,-11.747,291,1.3,"SMP LMC 83 ",84.08634,-67.30213
"SMP  84", ,15.8, ,-11.814,250,,"SMP LMC 84 ",84.22074,-71.89406
"SMP  85", ,16.01, ,-11.899,232,,"SMP LMC 85 ",85.12838,-66.29368
"SMP  86", ,18.46, ,-12.879,,,"SMP LMC 86 ",85.34187,-68.12894
"SMP  87", ,16.12, ,-11.943,280,0.8,"SMP LMC 87 ",85.28352,-72.7023
"SMP  88", ,17.8, ,-12.616,226,0.6,"SMP LMC 88 ",85.6383,-70.49002
"SMP  89", ,14.91, ,-11.46,276,,"SMP LMC 89 ",85.65272,-70.15893
"SMP  90", ,17.97, ,-12.685,,1.3,"SMP LMC 90 ",86.14458,-70.36133
"SMP  91", ,17.81, ,-12.619,310,1.3,"SMP LMC 91 ",86.27487,-68.11414
"SMP  92", ,14.8, ,-11.414,271,,"SMP LMC 92 ",86.77,-69.45892
"SMP  93", ,17.93, ,-12.669,,1.8,"SMP LMC 93 ",87.41188,-69.16674
"SMP  94",>,19.42,<,-13.266,272,,"SMP LMC 94 ",88.5397,-73.04282
"SMP  95", ,17.31, ,-12.421,306,0.6,"SMP LMC 95 ",90.43892,-67.93511
"SMP  96", ,17.22, ,-12.385,255,,"SMP LMC 96 ",91.52375,-71.07139
"SMP  97", ,15.94, ,-11.874,287,0.6,"SMP LMC 97 ",92.60596,-67.93914
"SMP  98", ,14.52, ,-11.303,264,,"SMP LMC 98 ",94.39708,-73.20972
"SMP  99", ,14.7, ,-11.377,264,,"SMP LMC 99 ",94.74177,-71.59737
"SMP 100", ,15.7, ,-11.778,285,0.7,"SMP LMC 100",95.73111,-72.12806
