Name,Umag,Bmag,n_Bmag,Vmag,Imag,Jmag,n_Jmag,Hmag,n_Hmag,Kmag,n_Kmag,[3_6],n_[3_6],[4_5],n_[4_5],[5_8],n_[5_8],[8_0],n_[8_0],[24],n_[24],SimbadName,_RA,_DE
"MG 74",,, ,,,17.666," *",, ,, ,, ,, ,, ,, ,, ,"MGPN LMC74   ",85.22875,-74.68833
"SMP 79",,, ,,,15.888,"  ",15.518, ,14.473, ,, ,, ,, ,, ,, ,"SMP LMC 79   ",83.53604,-74.33531
"SMP 81",,, ,,,15.99," *",16.032, ,15.292, ,, ,, ,, ,, ,, ,"SMP LMC 81   ",83.83683,-73.92508
"RP4673",,, ,,,,"  ",, ,, ,17.207, ,17.066, ,, ,, ,, ,"[RP2006] 4673",82.42904,-72.91558
"MG 61",,, ,,,,"  ",, ,, ,17.34, ,16.514, ,, ,13.89, ,8.755, ,"MGPN LMC61   ",83.30583,-72.61306
"SMP 94",,17.27, ,,,14.493," *",12.765, ,11.407, ,, ,, ,, ,, ,, ,"SMP LMC 94   ",88.53971,-73.04281
"RP4041",,, ,,,,"  ",, ,, ,17.527, ,16.898, ,, ,, ,, ,"[RP2006] 4041",86.50042,-72.49194
"MG 84",17.933,19.389, ,18.619,19.502,,"  ",, ,, ,, ,, ,, ,, ,, ,"MGPN LMC84   ",88.67292,-72.3925
"RP4034",19.713,20.379, ,20.388,21.114,,"  ",, ,, ,18.414, ,16.988, ,, ,14.233, ,, ,"[RP2006] 4034",86.37179,-72.31208
"SMP 87",,16.6, ,16.61,17.775,17.003," *",16.904, ,16.239, ,15.149, ,14.16, ,13.239, ,11.226, ,6.081, ,"SMP LMC 87   ",85.283,-72.70233
"SMP 74",15.961,16.327, ,15.199,17.082,16.226,"* ",16.129, ,15.14, ,13.216, ,12.556, ,11.018, ,8.995, ,5.06, ,"SMP LMC 74   ",83.37421,-71.87469
"RP4029",21.281,19.925, ,20.709,20.645,20.18,"  ",, ,, ,, ,, ,, ,, ,, ,"[RP2006] 4029",86.12683,-71.60106
"RP1951",20.933,21.332, ,20.125,19.384,,"  ",18.55, ,, ,, ,, ,, ,, ,, ,"[RP2006] 1951",84.77892,-71.32875
"SMP 84",15.999,16.611, ,15.729,17.066,16.41," *",16.241, ,15.386, ,14.065, ,13.329, ,12.65, ,10.865, ,6.158, ,"SMP LMC 84   ",84.22054,-71.89394
"MG 67",18.455,19.615, ,18.873,19.854,20.04,"  ",19.04, ,, ,17.496, ,16.58, ,14.58, ,9.14, ,, ,"MGPN LMC67   ",84.40875,-71.69417
"MG 63",,19.581, ,18.569,17.547,16.661," *",16.151, ,16.013, ,15.446, ,15.637, ,, ,, ,, ,"MGPN LMC63   ",83.54333,-71.72083
"RP603",,21.749, ,19.955,,,"  ",, ,, ,, ,, ,, ,, ,, ,"[RP2006] 603 ",83.37342,-71.41417
"RP604",,, ,,,19.82,"  ",, ,, ,, ,, ,, ,, ,, ,"[RP2006] 604 ",83.36721,-71.41408
"RP493",16.679,17.463, ,17.505,17.675,17.59,"  ",16.87, ,15.81, ,13.787, ,13.028, ,12.412, ,11.325, ,7.708, ,"[RP2006] 493 ",84.29217,-71.38725
"RP492",15.897,15.925, ,15.327,14.657,14.22,"  ",13.88, ,13.8, ,13.713, ,13.689, ,13.725, ,, ,, ,"[RP2006] 492 ",84.05233,-71.29017
"RP491",18.07,18.599, ,16.782,14.75,13.42,"  ",12.53, ,12.29, ,11.976, ,12.095, ,11.978, ,11.954, ,, ,"[RP2006] 491 ",84.04746,-71.28864
"RP548",16.704,17.671, ,17.685,18.084,17.86,"  ",17.57, ,16.8, ,14.869, ,14.179, ,13.535, ,11.705, ,8.437, ,"[RP2006] 548 ",83.28646,-71.30092
"RP525",,, ,,,19.25,"  ",, ,, ,, ,, ,, ,, ,, ,"[RP2006] 525 ",83.12362,-71.18383
"RP499",18.039,18.539, ,18.432,18.7,19.0,"  ",, ,, ,, ,, ,, ,, ,, ,"[RP2006] 499 ",83.74767,-71.10189
"SMP 61",,, ,,,15.711," *",15.54, ,14.71, ,, ,12.13, ,, ,8.13, ,4.58, ,"SMP LMC 61   ",81.14983,-73.67783
"SMP 70",,, ,,,,"  ",, ,, ,16.199, ,15.153, ,14.089, ,12.913, ,8.04, ,"SMP LMC 70   ",82.36071,-72.64533
"Mo 25",,, ,,,,"  ",, ,, ,17.086, ,16.287, ,15.148, ,13.595, ,, ,"[M94b] 25    ",81.50958,-72.51778
"RP3353",20.007,19.911, ,19.833,19.871,,"  ",, ,, ,, ,, ,, ,, ,, ,"[RP2006] 3353",79.40579,-71.99811
"RP3343",,21.137, ,20.339,20.238,19.7,"  ",, ,, ,, ,, ,, ,, ,, ,"[RP2006] 3343",79.15492,-71.88075
"MG 25",18.727,20.13, ,19.245,21.524,18.75,"  ",18.06, ,, ,17.46, ,16.83, ,, ,, ,, ,"MGPN LMC25   ",78.07333,-71.91333
"RP3334",,, ,,,,"  ",, ,, ,18.078, ,16.894, ,, ,, ,, ,"[RP2006] 3334",78.62342,-71.62903
"RP3601",19.6,19.775, ,18.821,17.775,17.177," *",16.68, ,, ,16.347, ,16.119, ,, ,, ,, ,"[RP2006] 3601",82.23204,-72.29467
