# Wavelength(nm) Transmission
1.200000000000000000e+03 1.381999999999999895e-01
1.199799999999999955e+03 1.232899999999999968e-01
1.199599999999999909e+03 1.277899999999999869e-01
1.199400000000000091e+03 1.383099999999999885e-01
1.199200000000000045e+03 1.262800000000000034e-01
1.199000000000000000e+03 1.247999999999999943e-01
1.198799999999999955e+03 1.607800000000000062e-01
1.198599999999999909e+03 1.247599999999999959e-01
1.198400000000000091e+03 1.502999999999999892e-01
1.198200000000000045e+03 1.292399999999999938e-01
1.198000000000000000e+03 1.414600000000000024e-01
1.197799999999999955e+03 1.321599999999999997e-01
1.197599999999999909e+03 1.247899999999999981e-01
1.197400000000000091e+03 1.428000000000000103e-01
1.197200000000000045e+03 1.352700000000000014e-01
1.197000000000000000e+03 1.097000000000000058e-01
1.196799999999999955e+03 1.322099999999999942e-01
1.196599999999999909e+03 1.476200000000000012e-01
1.196400000000000091e+03 1.143200000000000049e-01
1.196200000000000045e+03 1.363499999999999990e-01
1.196000000000000000e+03 1.470400000000000040e-01
1.195799999999999955e+03 1.312000000000000111e-01
1.195599999999999909e+03 1.299899999999999944e-01
1.195400000000000091e+03 1.463200000000000056e-01
1.195200000000000045e+03 1.339400000000000035e-01
1.195000000000000000e+03 1.421600000000000086e-01
1.194799999999999955e+03 1.367899999999999949e-01
1.194599999999999909e+03 1.398999999999999966e-01
1.194400000000000091e+03 1.307800000000000074e-01
1.194200000000000045e+03 1.279399999999999982e-01
1.194000000000000000e+03 1.127200000000000008e-01
1.193799999999999955e+03 1.278400000000000092e-01
1.193599999999999909e+03 1.404600000000000015e-01
1.193400000000000091e+03 1.395099999999999951e-01
1.193200000000000045e+03 1.272000000000000075e-01
1.193000000000000000e+03 1.342200000000000060e-01
1.192799999999999955e+03 1.323799999999999977e-01
1.192599999999999909e+03 1.181999999999999995e-01
1.192400000000000091e+03 1.707500000000000129e-01
1.192200000000000045e+03 1.343999999999999917e-01
1.192000000000000000e+03 1.213100000000000012e-01
1.191799999999999955e+03 1.379499999999999893e-01
1.191599999999999909e+03 1.391799999999999982e-01
1.191400000000000091e+03 1.188099999999999989e-01
1.191200000000000045e+03 1.550199999999999911e-01
1.191000000000000000e+03 1.349299999999999944e-01
1.190799999999999955e+03 1.226700000000000013e-01
1.190599999999999909e+03 1.203499999999999986e-01
1.190400000000000091e+03 1.427499999999999880e-01
1.190200000000000045e+03 1.228599999999999970e-01
1.190000000000000000e+03 1.198499999999999982e-01
1.189799999999999955e+03 1.415800000000000114e-01
1.189599999999999909e+03 1.127699999999999952e-01
1.189400000000000091e+03 1.378099999999999881e-01
1.189200000000000045e+03 1.379700000000000093e-01
1.189000000000000000e+03 1.084799999999999931e-01
1.188799999999999955e+03 1.279399999999999982e-01
1.188599999999999909e+03 1.318699999999999872e-01
1.188400000000000091e+03 1.184599999999999959e-01
1.188200000000000045e+03 1.190599999999999992e-01
1.188000000000000000e+03 1.310000000000000053e-01
1.187799999999999955e+03 1.334200000000000108e-01
1.187599999999999909e+03 1.411399999999999877e-01
1.187400000000000091e+03 1.236600000000000060e-01
1.187200000000000045e+03 1.460799999999999876e-01
1.187000000000000000e+03 1.093800000000000050e-01
1.186799999999999955e+03 1.470400000000000040e-01
1.186599999999999909e+03 1.236600000000000060e-01
1.186400000000000091e+03 1.219200000000000006e-01
1.186200000000000045e+03 1.363099999999999867e-01
1.186000000000000000e+03 1.288300000000000001e-01
1.185799999999999955e+03 1.237199999999999966e-01
1.185599999999999909e+03 1.293400000000000105e-01
1.185400000000000091e+03 1.046300000000000008e-01
1.185200000000000045e+03 1.348999999999999921e-01
1.185000000000000000e+03 1.191799999999999943e-01
1.184799999999999955e+03 1.144300000000000039e-01
1.184599999999999909e+03 1.392599999999999949e-01
1.184400000000000091e+03 1.499900000000000122e-01
1.184200000000000045e+03 1.158099999999999963e-01
1.184000000000000000e+03 1.352299999999999891e-01
1.183799999999999955e+03 1.167099999999999943e-01
1.183599999999999909e+03 1.184100000000000014e-01
1.183400000000000091e+03 1.113600000000000007e-01
1.183200000000000045e+03 1.431600000000000095e-01
1.183000000000000000e+03 1.330300000000000094e-01
1.182799999999999955e+03 1.304500000000000104e-01
1.182599999999999909e+03 1.265199999999999936e-01
1.182400000000000091e+03 1.341400000000000092e-01
1.182200000000000045e+03 1.241400000000000003e-01
1.182000000000000000e+03 1.199899999999999994e-01
1.181799999999999955e+03 1.326600000000000001e-01
1.181599999999999909e+03 1.264000000000000123e-01
1.181400000000000091e+03 1.214200000000000002e-01
1.181200000000000045e+03 1.455500000000000127e-01
1.181000000000000000e+03 1.237899999999999973e-01
1.180799999999999955e+03 1.232899999999999968e-01
1.180599999999999909e+03 1.394199999999999884e-01
1.180400000000000091e+03 1.394199999999999884e-01
1.180200000000000045e+03 1.238100000000000034e-01
1.180000000000000000e+03 1.278900000000000037e-01
1.179799999999999955e+03 1.349799999999999889e-01
1.179599999999999909e+03 1.305499999999999994e-01
1.179400000000000091e+03 1.328000000000000014e-01
1.179200000000000045e+03 1.159599999999999936e-01
1.179000000000000000e+03 1.455299999999999927e-01
1.178799999999999955e+03 1.442400000000000071e-01
1.178599999999999909e+03 1.509500000000000008e-01
1.178400000000000091e+03 1.236199999999999938e-01
1.178200000000000045e+03 1.455700000000000049e-01
1.178000000000000000e+03 1.330399999999999916e-01
1.177799999999999955e+03 1.284299999999999886e-01
