recno,[RP2006],Name,c(Hb),FHb,e_FHb,F[OIII],e_F[OIII],n_F[OIII],_RA,_DE
1,10,"SMP88 WS27",0.56,4.63E-14,2.3E-15,2.02E-13,1.0E-14, ,85.63829,-70.49003
2,12,"SMP90",0.42,3.65E-14,1.8E-15,2.31E-13,1.1E-14, ,86.14458,-70.36133
3,74,"Mo35",0.46,4.94E-15,4.9E-16,3.78E-14,3.2E-14, ,84.51925,-70.49053
4,75,"Mo40",0.34,6.42E-15,5.4E-15,4.61E-14,2.5E-14, ,86.60537,-71.38953
5,106,"LM2-40 N217",0.65,1.28E-15,1.2E-16,4.12E-15,3.5E-15, ,85.15667,-70.46528
6,133,"SMP89 WS38",0.35,2.09E-13,1.0E-14,2.8E-12,1.4E-13, ,85.65265,-70.15891
7,134,"Mo39",0.48,3.51E-15,3.5E-16,2.66E-14,2.2E-14, ,85.67121,-70.09697
8,152,"Mo37",0.34,1.25E-14,6.2E-16,6.78E-14,3.3E-15, ,84.81029,-70.00517
9,179,"Mo36",0.32,6.13E-15,5.2E-15,5.71E-14,3.1E-14, ,84.724,-69.96536
10,209,"SMP93",0.33,4.35E-14,2.1E-15,1.91E-13,9.5E-15, ,87.41146,-69.16647
11,213,"SMP92 WS39",0.12,2.1E-13,1.0E-14,3.7E-12,1.8E-13, ,86.77,-69.45892
12,214,"MG73",0.36,8.81E-15,7.4E-15,4.37E-14,2.4E-14, ,85.40254,-69.45272
13,215,"MG76",0.45,1.39E-14,6.9E-16,7.6E-14,3.8E-15, ,85.601,-69.88475
14,267,"MG68",0.19,2.28E-14,1.1E-15,7.06E-14,3.5E-15, ,84.57312,-68.97961
15,269,"SMP86",0.11,1.94E-14,9.6E-16,1.24E-13,6.2E-15, ,85.34187,-68.12894
16,270,"SMP91",0.02,2.86E-14,1.4E-15,1.98E-13,9.9E-15, ,86.27487,-68.11414
17,271,"MG75",0.41,8.15E-15,6.9E-15,6.14E-14,3.3E-14, ,85.56421,-68.81547
18,272,"MG77",0.3,9.05E-15,7.6E-15,4.17E-14,2.2E-14, ,85.94829,-68.64308
19,273,"MG78",0.32,2.48E-15,2.4E-16,1.61E-14,1.3E-14, ,86.60587,-67.83411
20,316,"Sa124",0.41,7.65E-15,6.5E-15,8.72E-14,4.3E-15, ,85.18579,-67.30214
