recno,[RP2006],st,c(Hb),n_c(Hb),FHb,e_FHb,F[OIII],e_F[OIII],n_F[OIII],_RA,_DE
1,1,L,0.56, ,1.46E-15,7.29E-17,2.52E-15,1.26E-16, ,85.15833,-70.92725
2,9,T,0.49, ,2.6E-15,1.3E-16,2.32E-14,1.16E-15, ,85.65204,-70.48314
3,18,T,0.28, ,7.11E-15,3.56E-16,1.39E-14,6.96E-16, ,87.47137,-70.14878
4,25,T,0.1, ,9.66E-16,8.21E-16,7.76E-15,3.88E-16, ,84.37267,-70.27583
5,26,T,0.21, ,3.39E-15,1.69E-16,1.72E-14,8.58E-16, ,84.28108,-70.33083
6,35,T,0.06, ,5.12E-15,2.56E-16,5.6E-15,2.8E-16, ,84.96137,-71.467
7,44,T,0.45, ,1.06E-14,5.32E-16,2.07E-14,1.04E-15, ,84.98517,-71.15628
8,46,P,0.29, ,2.64E-13,1.32E-14,3.52E-13,1.76E-14,a,84.96718,-71.15067
9,61,T,0.33, ,5.42E-15,2.71E-16,2.28E-14,1.14E-15, ,85.60921,-70.82789
10,62,T,0.51, ,1.74E-15,8.69E-17,1.01E-14,5.04E-16, ,86.09442,-70.67872
11,70,T,1.01, ,3.79E-16,3.79E-17,3.32E-15,1.66E-16, ,85.75896,-70.55894
12,72,L,0.09, ,5.3E-15,2.65E-16,3.05E-14,1.53E-15,a,85.35192,-71.00514
13,77,T,0.78, ,3.28E-16,3.28E-17,2.28E-15,1.14E-16, ,86.39229,-70.71775
14,85,L,0.84, ,7.68E-15,3.84E-16,1.64E-14,8.2E-16, ,85.13987,-70.54453
15,86,P,0.86, ,1.43E-15,7.16E-17,6.2E-15,3.1E-16, ,84.8435,-70.52333
16,87,L,0.32, ,7.24E-16,7.24E-17,9.28E-16,9.28E-17, ,84.54396,-70.54597
17,89,T,0.63, ,6.03E-15,3.02E-16,1.11E-14,5.54E-16, ,84.73504,-70.356
18,90,T,0.63, ,1.29E-15,6.46E-17,3.52E-15,1.76E-16, ,84.67021,-70.31706
19,93,T,0.56, ,2.32E-15,1.16E-16,1.57E-14,7.84E-16, ,85.509,-70.41658
20,95,P,0.72, ,2.08E-15,1.04E-16,7.02E-15,3.51E-16, ,85.30721,-70.39019
21,97,P,0.69, ,2.04E-15,1.02E-16,2.27E-15,1.13E-16, ,85.24062,-70.31056
22,99,T,0.43, ,3.45E-15,1.73E-16,4.26E-14,2.13E-15, ,86.59979,-70.43217
23,102,T,0.07, ,2.23E-15,1.12E-16,7.0E-15,3.5E-16, ,87.33442,-70.46939
24,103,T,0.55, ,5.08E-15,2.54E-16,2.06E-14,1.03E-15, ,86.75637,-70.47847
25,111,T,0.83, ,4.74E-15,2.37E-16,1.26E-14,6.28E-16, ,85.36467,-70.53553
26,116,L,0.53, ,3.03E-14,1.51E-15,8.84E-14,4.42E-15,a,84.55617,-70.61139
27,120,P,0.36, ,7.47E-15,3.74E-16,1.73E-14,8.67E-16, ,87.38162,-70.16275
28,122,T,0.15, ,1.31E-15,6.55E-17,4.29E-15,2.15E-16, ,86.86958,-70.33775
29,125,T,0.93, ,3.6E-16,3.6E-17,1.57E-15,1.34E-15, ,85.22296,-70.75228
30,127,L,0.43, ,3.26E-15,1.63E-16,7.8E-15,3.9E-16, ,85.33842,-71.00392
31,129,T,0.35, ,7.19E-15,3.6E-16,1.74E-14,8.72E-16, ,87.12133,-70.14625
32,130,P,0.26, ,4.82E-15,2.41E-16,7.93E-15,3.97E-16, ,87.08075,-70.08994
33,135,T,0.23, ,6.77E-15,3.38E-16,2.24E-14,1.12E-15, ,85.66179,-70.07733
34,142,T,0.48, ,4.62E-15,2.31E-16,7.49E-15,3.75E-16, ,84.89654,-70.10397
35,143,T,0.4, ,4.36E-15,2.18E-16,2.5E-14,1.25E-15, ,84.88021,-70.10428
36,144,T,0.76, ,1.13E-15,5.65E-17,8.83E-15,4.42E-16, ,84.6595,-70.22375
37,145,T,0.06, ,2.55E-15,1.28E-16,2.84E-15,1.42E-16, ,84.65129,-70.20697
38,147,T,0.51, ,6.09E-16,6.09E-17,3.59E-15,1.79E-16, ,84.372,-70.13081
39,162,T,0.34, ,3.67E-15,1.84E-16,1.21E-14,6.05E-16, ,85.82346,-69.94761
40,163,P,0.28, ,4.95E-15,2.47E-16,8.55E-15,4.28E-16, ,86.11962,-69.91211
41,171,T,0.13, ,3.73E-15,1.87E-16,1.47E-14,7.34E-16,a,87.74937,-69.97347
42,172,T,0.19, ,1.4E-15,6.98E-17,3.96E-15,1.98E-16, ,86.72121,-69.85928
43,178,T,0.24, ,6.36E-15,3.18E-16,2.31E-14,1.16E-15, ,85.11879,-69.91097
44,180,L,0.18, ,1.5E-15,7.49E-17,1.61E-15,8.04E-17, ,84.25446,-69.91019
45,182,L,0.09, ,1.99E-15,9.93E-17,2.26E-15,1.13E-16, ,84.77133,-69.84608
46,187,P,0.59, ,2.31E-15,1.15E-16,2.27E-14,1.13E-15, ,85.65025,-69.67322
47,188,P,0.41, ,2.11E-15,1.05E-16,3.3E-15,1.65E-16, ,85.63646,-69.67336
48,189,P,0.68, ,1.7E-15,8.52E-17,3.98E-15,1.99E-16, ,86.20021,-69.65014
49,194,T,0.53, ,2.57E-15,1.28E-16,9.78E-15,4.89E-16, ,86.58817,-69.59211
50,198,P,0.96, ,4.12E-15,2.06E-16,8.13E-15,4.07E-16,a,86.07962,-69.41169
51,202,T,0.39, ,2.83E-15,1.42E-16,1.75E-14,8.75E-16, ,86.08179,-69.20131
52,203,T,0.07, ,1.83E-15,9.17E-17,1.71E-14,8.53E-16, ,86.06271,-69.18056
53,207,L,0.28, ,2.17E-15,1.08E-16,3.37E-15,1.68E-16, ,86.56108,-68.89744
54,217,P,0.37, ,5.91E-15,2.96E-16,7.2E-15,3.6E-16, ,86.31254,-69.64369
55,219,P,0.49, ,9.0E-15,4.5E-16,1.49E-14,7.45E-16, ,84.76146,-69.58592
56,223,P,0.43, ,1.73E-14,8.66E-16,4.65E-14,2.32E-15, ,84.61179,-69.54767
57,227,P,0.37, ,2.27E-14,1.14E-15,3.65E-14,1.82E-15, ,84.44508,-69.53217
58,228,P,0.65, ,2.78E-15,1.39E-16,7.84E-15,3.92E-16, ,84.27771,-69.45258
59,231,L,0.44, ,1.12E-14,5.58E-16,2.74E-14,1.37E-15, ,84.20629,-69.39894
60,232,L,0.28, ,1.24E-14,6.19E-16,4.01E-14,2.0E-15, ,84.14675,-69.37464
61,234,P,0.22, ,1.15E-14,5.74E-16,4.75E-14,2.38E-15, ,84.1715,-69.36897
62,240,P,0.48, ,1.02E-14,5.08E-16,2.72E-14,1.36E-15, ,85.23108,-69.23608
63,241,P,0.49, ,8.6E-15,4.3E-16,2.93E-14,1.46E-15, ,85.08612,-69.21706
64,242,P,0.44, ,3.82E-14,1.91E-15,3.07E-14,1.54E-15, ,85.03583,-68.974
65,246,P,0.59, ,8.71E-15,4.36E-16,3.96E-14,1.98E-15, ,84.73862,-69.56586
66,247,P,0.62, ,9.85E-15,4.92E-16,1.8E-14,8.98E-16, ,84.70104,-69.56886
67,250,P,0.52, ,2.5E-14,1.25E-15,4.98E-14,2.49E-15, ,86.10571,-69.27858
68,251,P,0.52, ,1.43E-14,7.15E-16,1.22E-14,6.12E-16, ,86.0655,-69.28975
69,252,P,0.79,b,4.16E-15,2.08E-16,5.11E-15,2.56E-16, ,86.25067,-69.30533
70,254,P,0.47, ,9.39E-15,4.7E-16,1.8E-14,9.01E-16, ,85.90446,-69.33606
71,259,P,0.55, ,7.73E-15,3.86E-16,1.2E-14,5.98E-16, ,84.20262,-69.44572
72,261,P,0.54, ,3.32E-14,1.66E-15,3.04E-14,1.52E-15, ,86.492,-69.14942
73,263,P,0.55, ,9.27E-15,4.64E-16,1.42E-14,7.08E-16, ,86.29587,-69.17047
74,264,P,0.68, ,1.16E-14,5.8E-16,1.19E-14,5.96E-16, ,85.87621,-69.41292
75,265,T,0.12, ,1.36E-14,6.8E-16,4.39E-14,2.2E-15, ,84.25329,-69.35786
76,266,P,0.35, ,7.81E-14,3.9E-15,8.69E-14,4.35E-15, ,84.36625,-69.14864
77,268,P,0.0, ,3.39E-14,1.69E-15,7.75E-14,3.87E-15, ,84.87562,-68.98269
78,277,P,0.12, ,1.8E-15,9.02E-17,3.0E-15,1.5E-16, ,85.36129,-68.80042
79,283,P,1.0, ,3.31E-15,1.66E-16,6.4E-15,3.2E-16, ,84.45125,-68.66517
80,295,P,0.58, ,1.01E-14,5.07E-16,1.25E-14,6.23E-16, ,87.09275,-67.98144
81,296,P,0.59, ,1.25E-15,6.25E-17,1.6E-15,7.99E-17, ,84.26908,-68.24525
82,299,T,0.32, ,4.85E-15,2.42E-16,1.95E-14,9.73E-16, ,84.3245,-67.87611
83,303,P,1.14, ,7.7E-16,7.7E-17,1.79E-15,8.95E-17,a,84.01004,-67.75475
84,307,P,0.54, ,9.12E-15,4.56E-16,2.51E-14,1.26E-15, ,85.80171,-67.84817
85,312,L,0.32, ,7.22E-15,3.61E-16,2.57E-14,1.29E-15, ,84.08992,-68.92931
86,315,P,0.39, ,9.22E-15,4.61E-16,2.76E-14,1.38E-15, ,84.06179,-68.94094
87,326,P,0.71, ,4.39E-15,2.19E-16,9.02E-15,4.51E-16, ,83.87587,-67.63497
88,328,P,0.32, ,4.44E-16,4.44E-17,2.05E-15,1.03E-16, ,84.18546,-67.54975
89,331,P,0.44, ,1.02E-15,5.12E-17,2.28E-15,1.14E-16, ,84.23562,-67.56561
90,347,T,0.51, ,4.03E-15,2.01E-16,2.24E-14,1.12E-15, ,83.95829,-66.98489
91,359,T,0.58, ,8.3E-16,8.3E-17,5.02E-15,2.51E-16, ,86.13187,-67.53092
92,363,P,0.74, ,1.65E-16,1.65E-17,1.66E-15,8.29E-17, ,83.93458,-66.85614
93,366,T,0.02, ,1.16E-15,5.79E-17,2.0E-15,1.0E-16, ,84.30542,-67.57089
94,384,T,0.2, ,9.86E-16,8.38E-16,2.93E-15,1.46E-16, ,85.844,-67.13225
95,393,T,0.2, ,1.04E-15,5.2E-17,4.91E-15,2.46E-16,a,84.99067,-67.43261
96,394,T,0.07, ,1.0E-15,5.02E-17,1.13E-15,9.61E-16,a,84.44017,-67.19808
97,395,L,0.37, ,6.53E-16,6.53E-17,1.9E-15,9.48E-17, ,84.29454,-67.223
98,396,T,0.34, ,1.71E-15,8.57E-17,8.07E-15,4.03E-16, ,86.25683,-67.50944
99,397,T,0.16, ,8.81E-16,8.81E-17,8.64E-16,8.64E-17, ,85.47062,-70.47189
100,415,T,0.33, ,2.21E-14,1.1E-15,8.0E-14,4.0E-15, ,82.99154,-70.7795
101,427,T,0.31, ,1.61E-14,8.05E-16,4.16E-14,2.08E-15, ,82.54529,-70.77767
102,440,T,0.22, ,1.46E-14,7.28E-16,6.26E-14,3.13E-15,a,83.22846,-70.69622
103,441,T,0.4, ,1.33E-15,6.65E-17,9.6E-15,4.8E-16, ,83.17842,-70.64458
104,442,T,0.19, ,1.96E-14,9.78E-16,6.69E-14,3.34E-15, ,83.21396,-70.62139
105,445,L,0.57, ,1.47E-15,7.37E-17,2.33E-14,1.16E-15, ,82.83254,-70.90619
106,460,P,0.39, ,9.67E-16,8.22E-16,2.29E-15,1.15E-16, ,81.98808,-70.85878
107,463,P,0.76, ,1.74E-15,8.68E-17,3.82E-15,1.91E-16, ,82.0805,-70.88311
108,473,L,0.51, ,2.22E-15,1.11E-16,5.87E-15,2.94E-16,a,81.98521,-70.94183
109,474,P,0.22, ,2.14E-16,2.14E-17,1.08E-15,9.16E-16, ,81.98121,-70.94333
110,478,T,0.55, ,1.59E-15,7.96E-17,1.21E-14,6.05E-16, ,81.55383,-70.98206
111,491,T,0.56, ,9.74E-15,4.87E-16,5.3E-14,2.65E-15, ,84.04746,-71.28864
112,492,P,0.99, ,9.75E-15,4.88E-16,6.42E-14,3.21E-15,a,84.05233,-71.29017
113,492,P,, ,9.75E-15,4.88E-16,6.42E-14,3.21E-15, ,84.05233,-71.29017
114,493,T,0.84, ,2.56E-14,1.28E-15,6.65E-14,3.32E-15, ,84.29225,-71.38719
115,499,T,0.57, ,1.79E-15,8.96E-17,1.35E-14,6.76E-16, ,83.74767,-71.10189
116,506,P,0.28, ,1.42E-15,7.1E-17,3.52E-15,1.76E-16,a,82.93758,-71.16892
